2867	2354	6	
2867	17392	6	
2867	17898	6
2868	2348	6	
2868	2366	6
2868	9846	6
2869	2360	6
2869	17136	6	
2869	2398	40
2870	2344	6	
2870	9848	6
2870	2393	40
2871	2346	6
2871	9834	6
2871	12836	6
2872	2345	6
2872	2352	6
2872	2361	6
2875	28974	6
2875	2351	6
2875	3645	40
2876	2349	6
2876	2358	6
2876	2367	6
3645	2268	3000
3683	2310	3000
2393	2073	3000
2396	2288	3000
3779	2286	3000
2401	2306	3000
2390	2309	3000
2397	2305	3000
2392	2311	3000
2389	2308	3000
2399	2270	3000
2395	2287	3000
2398	2267	3000
9828	2307	3000
2400	2272	3000
2329	2396	40
2329	2399	40
3828	2398	40
3828	2400	40
9836	2400	40
9836	2401	40
9832	2390	40
9832	3645	40
44	2399	40
44	2400	40
3693	2393	40
3693	2395	40
15317	2395	40
15317	3779	40
3725	2395	40
3725	2396	40
3689	2398	40
3689	2399	40
2327	2397	40
2327	9828	40
9842	2401	40
9842	9828	40
2463	2393	40
2463	2398	40
2317	2392	40
2317	3683	40
2321	2392	40
2321	2397	40
3695	2396	40
3695	2397	40
9830	2389	40
9830	2390	40
3697	2392	40
3697	9828	40
9838	2389	40
9838	3645	40
2312	3683	40
2312	3779	40
3691	2390	40
3691	3683	40
2319	2393	40
2319	3645	40
9840	2389	40
9840	2401	40
3775	2393	40
3775	3779	40
2328	2398	40
2328	3645	40
2345	9830	10
2345	3697	10
2344	2317	10
2344	9832	10
17392	2312	10
17392	2327	10
9834	2328	10
9834	9840	10
2361	2321	10
2361	15317	10
17898	2321	10
17898	9840	10
2360	3693	10
2360	3695	10
2354	2329	10
2354	3697	10
2352	2327	10
2352	44	10
9848	3689	10
9848	9836	10
2351	3828	10
2351	9842	10
2346	2312	10
2346	2319	10
12836	2329	10
12836	2463	10
17136	3691	10
17136	9838	10
28974	3725	10
28974	3775	10
2358	2463	10
2358	3725	10
2358	3828	10
2367	2319	10
2367	3691	10
2367	3693	10
2349	2328	10
2349	9832	10
2349	9836	10
9846	2312	10
9846	3689	10
9846	9842	10
2366	3695	10
2366	3775	10
2366	9840	10
2348	2317	10
2348	2329	10
2348	9838	10
